,smiles,hepatotoxicity,mito_toxicity
5457,O=C(C=Cc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,0,1.0
4467,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,1,1.0
2144,CC1=Cc2c(c(C)cc3occ(C)c23)CC1,1,1.0
5698,O=c1[nH]c(c(c2ccncc2)cc1C#N)C,1,0.0
344,C(C(CS)S)O,0,0.0
5155,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCC(F)(F)F)NS2(=O)=O,1,0.0
3518,Clc1c(Cl)cccc1,1,0.0
911,c1cc2c3c(c1)C(=O)N(CC3CCC2)C4CN5CCC4CC5,1,0.0
1041,c1ccc2c(c1)N(c3cc(ccc3S2)C(F)(F)F)CCCN4CCN(CC4)CCO,1,1.0
47,C1=CC(=CC=C1N)S(=O)(=O)NC(=O)N,1,0.0
5920,O1[C@@]2(O)C[C@@H](O)[C@H]([C@H]1C[C@H](O[C@H]1O[C@@H]([C@@H](O)[C@H](N)[C@@H]1O)C)/C=C/C=C/C=C/C=C/CC/C=C/C=C/[C@@H]([C@@H](O)[C@H]([C@@H](OC(=O)C[C@@H](O)C[C@@H](O)C[C@@H](O)CC[C@@H](O)[C@@H](O)C2)C)C)C)C(=O)O,0,0.0
5553,O=C(Nc1ccc(C(=O)O)c([O-])c1)c1ccccc1.O=C(Nc1ccc(C(=O)O)c([O-])c1)c1ccccc1.[Ca+2],1,1.0
1350,CC(C(=O)O)O,0,0.0
443,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,1,0.0
3315,CCOC([O-])=Nc1c[n+](N2CCOCC2)no1,0,1.0
1061,c1cn(c(=O)nc1N)C2CSC(O2)CO,1,0.0
1451,CC(C)(CO)N.CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Br,0,0.0
3721,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,0,0.0
6370,s1c([C@H](N(O)C(=O)N)C)cc2c1cccc2,1,0.0
5610,O=C(O)c1cccnc1,1,0.0
3154,CCCN(CC)C(CC)C(=O)Nc1c(cccc1C)C,0,0.0
3478,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0,0.0
3933,CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,0,0.0
3555,Clc1cc2c(N(C(=O)[C@@H](O)N=C2c2ccccc2)C)cc1,0,0.0
1973,CC1(C)CC2C3=CCC4C5(C)CCC(O)C(C)(CO)C5CCC4(C)C3(C)CC(O)C2(CO)C(O)C1O,0,1.0
2641,Cc1ncc(CSSCc2cnc(C)c(O)c2CO)c(CO)c1O,1,0.0
1055,C1CCN2CC3CC(CN4CCCCC34)C2C1,0,0.0
848,c1cc(ccc1C2CNCCc3c2cc(c(c3Cl)O)O)O,1,0.0
3102,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,0,0.0
3837,CN(CCCNC(=O)C1CCCO1)c2nc3cc(c(cc3c(n2)N)OC)OC,1,0.0
1294,CC(=O)OC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,0,1.0
3130,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)N,1,0.0
2463,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,1,1.0
3954,CN1Cc2c(ccc3c2OCO3)C2C(O)Cc3cc4c(cc3C21)OCO4,1,0.0
5993,O1C(O[C@H]2[C@H](CC(O[C@@H]3CC4CCC5[C@@]6([C@]([C@@H](C7=CC(=O)OC7)CC6)(CCC5[C@]4(CC3)C)C)O)O[C@H]2C)O)C[C@@H]([C@@H]([C@H]1C)OC1O[C@H](C)[C@@H]([C@@H](C1)O)O)O,0,1.0
4577,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,0,0.0
